id	rank	name	authorship
2907489	Subspecies	Disphyma crassifolium subsp. clavellatum	(Haw.) Chinnock
6729011	Genus	Dorotheanthus	Schwantes
2904346	Genus	Drosanthemum	Schwantes
2897353	Species	Drosanthemum candens	(Haw.) Schwantes
2901910	Genus	Galenia	L.
2895768	Species	Galenia pubescens	(Eckl. & Zeyh.) Druce
2891732	Varietas	Galenia pubescens var. pubescens	
2902490	Species	Galenia secunda	(L.f.) Sond.
51266394	Genus	Gunniopsis	Pax
2919889	Species	Gunniopsis calcarea	Chinnock
2919305	Species	Gunniopsis calva	Chinnock
2911406	Species	Gunniopsis divisa	Chinnock
2886166	Species	Gunniopsis glabra	(Luehm. ex Ewart) C.A.Gardner
2903394	Species	Gunniopsis intermedia	Diels
2907206	Species	Gunniopsis kochii	(R.Wagner) Chinnock
2887499	Species	Gunniopsis papillata	Chinnock
2907065	Species	Gunniopsis propinqua	Chinnock
2896013	Species	Gunniopsis quadrifida	(F.Muell.) Pax
2915753	Species	Gunniopsis rodwayi	(Ewart) C.A.Gardner
2896869	Species	Gunniopsis rubra	Chinnock
2910192	Species	Gunniopsis septifraga	(F.Muell.) Chinnock
51266392	Species	Gunniopsis sp. Blue Hills (D.J.Edinger Nats 59)	
51266398	Species	Gunniopsis sp. Lake Kerrylyn (N.Gibson et al. NG 7028)	
2890289	Species	Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522)	WA Herbarium
2912412	Species	Gunniopsis tenuifolia	Chinnock
2920334	Species	Gunniopsis zygophylloides	(F.Muell.) Diels
2902315	Genus	Lampranthus	N.E.Br.
2915488	Species	Lampranthus glaucus	(L.) N.E.Br.
2897082	Species	Lampranthus immelmaniae	(L.Bolus) N.E.Br.
2914324	Species	Lampranthus multiradiatus	(Jacq.) N.E.Br.
2913713	Species	Lampranthus tegens	(F.Muell.) N.E.Br.
2908605	Genus	Malephora	N.E.Br.
2900754	Species	Malephora crocea	(Jacq.) Schwantes
9358711	Genus	Mesembryanthemum	L.
2893670	Species	Mesembryanthemum aitonis	Jacq.
2889606	Species	Mesembryanthemum crystallinum	L.
2888681	Species	Mesembryanthemum guerichianum	Pax
2907196	Species	Mesembryanthemum nodiflorum	L.
2891415	Genus	Psilocaulon	N.E.Br.
2904202	Species	Psilocaulon granulicaule	(Haw.) Schwantes
2912808	Genus	Ruschia	Schwantes
