id	parent_id
51344520	0
51344519	51344520
51344521	51344519
51304336	51344521
51304335	51304336
2913626	51304335
2887109	2913626
2887837	2887109
2893424	2887109
2915194	2887109
2902935	2887109
2909332	2887109
2921095	2887109
2886895	2887109
2908796	2887109
2913329	2887109
2919167	2887109
2893335	2887109
2911636	2887109
2904810	2887109
2892784	2887109
2904097	2887109
2908733	2887109
2904128	2887109
2892582	2887109
2897060	2892582
2920051	2892582
2889358	2887109
2898155	2889358
2904417	2889358
2900669	2889358
2913264	2887109
2914888	2887109
2914030	2887109
2889516	2887109
2895450	2887109
2910847	2887109
2909346	2887109
2921188	2887109
2896080	2887109
2909218	2887109
2919760	2887109
2911543	2887109
2896971	2887109
51304334	51304335
2908062	51304334
2898331	2908062
2912787	2908062
2886286	51304334
2918315	2886286
2897542	2886286
51294694	51304334
2906288	51294694
2887061	51294694
2906862	51294694
2891883	51294694
2892095	51294694
2886099	51294694
2897257	51294694
2912247	51294694
2910572	51294694
2909225	51294694
2894533	51294694
2886756	51294694
2897645	51294694
2919475	51294694
2906995	51294694
2887600	51294694
2886421	51294694
2897563	51294694
2889844	51294694
2891775	51294694
2899258	51294694
2917134	51294694
2914591	51294694
2917359	51294694
51294692	51294694
2915111	51294694
2907789	51294694
2920366	51294694
2901278	51294694
2895445	51294694
2918773	51294694
2895463	51294694
2919060	51294694
2887717	51294694
2893298	51294694
2915937	51294694
2914934	51294694
2899345	51294694
51294701	51294694
2899201	51294694
2917053	51294694
2887470	51344521
2914450	2887470
2896955	2914450
2900976	2896955
2910305	2900976
2886448	2900976
8330979	51344521
2914090	8330979
2905374	2914090
2888077	2905374
2905282	2888077
2909039	2888077
2893919	2888077
2912691	2888077
2913141	2888077
2896882	2913141
2904485	2888077
2912409	2888077
2891228	2912409
2896098	2912409
2913106	2888077
2904754	2888077
2886566	2888077
2890152	2888077
2910426	2888077
2892984	2888077
2900882	2888077
2918228	2888077
2887570	2888077
8330978	8330979
8330977	8330978
2915577	8330977
2911138	2915577
2900828	2915577
2895756	2915577
2914763	8330977
2913822	2914763
